data;
set I := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14;
set J := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29;
param F := 0 26780 1 21766 2 10963 3 22409 4 10000 5 10000 6 10000 7 10000 8 10000 9 10000 10 10000 11 17209 12 16821 13 10000 14 10000;
param Cap := 0 660 1 911 2 1451 3 879 4 1500 5 1500 6 1500 7 1500 8 1500 9 1500 10 1500 11 1139 12 1158 13 1500 14 1500;
param RC := 0 552 1 592 2 510 3 569 4 548 5 539 6 533 7 537 8 559 9 519 10 510 11 591 12 500 13 593 14 517;
param OC := 0 216 1 193 2 190 3 186 4 184 5 209 6 185 7 183 8 185 9 195 10 205 11 189 12 204 13 197 14 189;
param HC := 0 2.19 1 2.01 2 2.3 3 2.02 4 2.29 5 2.3 6 2.1 7 2.32 8 2.28 9 2.32 10 2.06 11 2.1 12 2.12 13 2.29 14 2.27;
param LT := 0 7 1 13 2 15 3 12 4 13 5 11 6 13 7 8 8 10 9 9 10 13 11 11 12 10 13 9 14 9;
param d := 0 59 1 106 2 118 3 58 4 120 5 42 6 121 7 81 8 132 9 33 10 64 11 56 12 57 13 79 14 53 15 75 16 36 17 83 18 39 19 32 20 38 21 141 22 72 23 50 24 66 25 67 26 95 27 84 28 119 29 81;
param u := 0 41 1 45 2 31 3 38 4 34 5 34 6 50 7 43 8 27 9 36 10 50 11 47 12 39 13 50 14 46 15 49 16 25 17 40 18 33 19 41 20 30 21 44 22 47 23 36 24 43 25 42 26 47 27 32 28 47 29 36;
param K := 1.28;
param TH := 1000;
param TC := 
0 0 13
1 0 39
2 0 105
3 0 47
4 0 144
5 0 160
6 0 154
7 0 169
8 0 156
9 0 135
10 0 122
11 0 75
12 0 77
13 0 122
14 0 152
0 1 7
1 1 43
2 1 105
3 1 58
4 1 156
5 1 160
6 1 156
7 1 181
8 1 168
9 1 146
10 1 134
11 1 82
12 1 86
13 1 135
14 1 152
0 2 28
1 2 40
2 2 107
3 2 34
4 2 128
5 2 162
6 2 153
7 2 153
8 2 141
9 2 120
10 2 106
11 2 68
12 2 66
13 2 106
14 2 153
0 3 28
1 3 63
2 3 83
3 3 31
4 3 129
5 3 138
6 3 129
7 3 154
8 3 139
9 3 116
10 3 116
11 3 49
12 3 54
13 3 110
14 3 129
0 4 17
1 4 57
2 4 87
3 4 40
4 4 139
5 4 142
6 4 136
7 4 163
8 4 149
9 4 126
10 4 123
11 4 59
12 4 64
13 4 119
14 4 134
0 5 30
1 5 40
2 5 108
3 5 33
4 5 127
5 5 162
6 5 153
7 5 152
8 5 141
9 5 119
10 5 105
11 5 68
12 5 66
13 5 105
14 5 154
0 6 15
1 6 50
2 6 95
3 6 40
4 6 138
5 6 150
6 6 143
7 6 163
8 6 150
9 6 128
10 6 120
11 6 64
12 6 68
13 6 118
14 6 141
0 7 40
1 7 22
2 7 128
3 7 49
4 7 133
5 7 182
6 7 174
7 7 158
8 7 150
9 7 130
10 7 104
11 7 87
12 7 83
13 7 111
14 7 174
0 8 33
1 8 26
2 8 121
3 8 46
4 8 134
5 8 176
6 8 167
7 8 159
8 8 150
9 8 129
10 8 107
11 8 82
12 8 79
13 8 112
14 8 167
0 9 20
1 9 61
2 9 83
3 9 40
4 9 139
5 9 138
6 9 132
7 9 163
8 9 148
9 9 125
10 9 125
11 9 56
12 9 62
13 9 119
14 9 130
0 10 16
1 10 47
2 10 97
3 10 39
4 10 137
5 10 152
6 10 145
7 10 162
8 10 149
9 10 127
10 10 118
11 10 65
12 10 68
13 10 117
14 10 144
0 11 42
1 11 42
2 11 115
3 11 30
4 11 117
5 11 168
6 11 157
7 11 142
8 11 132
9 11 112
10 11 93
11 11 69
12 11 63
13 11 95
14 11 159
0 12 34
1 12 48
2 12 103
3 12 25
4 12 120
5 12 156
6 12 147
7 12 145
8 12 133
9 12 112
10 12 101
11 12 60
12 12 57
13 12 99
14 12 148
0 13 17
1 13 62
2 13 83
3 13 46
4 13 144
5 13 138
6 13 133
7 13 169
8 13 154
9 13 131
10 13 130
11 13 60
12 13 68
13 13 125
14 13 130
0 14 25
1 14 43
2 14 103
3 14 34
4 14 130
5 14 158
6 14 149
7 14 155
8 14 143
9 14 121
10 14 109
11 14 65
12 14 65
13 14 109
14 14 149
0 15 21
1 15 40
2 15 105
3 15 39
4 15 135
5 15 160
6 15 152
7 15 160
8 15 148
9 15 127
10 15 114
11 15 70
12 15 70
13 15 114
14 15 151
0 16 31
1 16 35
2 16 113
3 16 37
4 16 129
5 16 167
6 16 158
7 16 154
8 16 143
9 16 123
10 16 105
11 16 73
12 16 70
13 16 107
14 16 159
0 17 4
1 17 49
2 17 96
3 17 51
4 17 149
5 17 152
6 17 147
7 17 174
8 17 160
9 17 138
10 17 130
11 17 72
12 17 77
13 17 129
14 17 144
0 18 31
1 18 51
2 18 98
3 18 25
4 18 122
5 18 152
6 18 143
7 18 147
8 18 134
9 18 113
10 18 104
11 18 57
12 18 56
13 18 102
14 18 143
0 19 18
1 19 60
2 19 84
3 19 42
4 19 140
5 19 139
6 19 133
7 19 165
8 19 150
9 19 127
10 19 126
11 19 58
12 19 65
13 19 121
14 19 131
0 20 25
1 20 51
2 20 95
3 20 31
4 20 129
5 20 150
6 20 141
7 20 154
8 20 140
9 20 118
10 20 111
11 20 58
12 20 60
13 20 108
14 20 141
0 21 29
1 21 48
2 21 101
3 21 29
4 21 125
5 21 155
6 21 146
7 21 150
8 21 138
9 21 116
10 21 106
11 21 60
12 21 60
13 21 104
14 21 146
0 22 9
1 22 41
2 22 104
3 22 52
4 22 149
5 22 159
6 22 154
7 22 174
8 22 161
9 22 139
10 22 127
11 22 77
12 22 80
13 22 127
14 22 151
0 23 15
1 23 36
2 23 108
3 23 49
4 23 145
5 23 163
6 23 157
7 23 170
8 23 158
9 23 136
10 23 122
11 23 77
12 23 79
13 23 123
14 23 155
0 24 18
1 24 32
2 24 112
3 24 51
4 24 145
5 24 168
6 24 161
7 24 171
8 24 159
9 24 138
10 24 121
11 24 81
12 24 82
13 24 124
14 24 159
0 25 15
1 25 48
2 25 96
3 25 40
4 25 138
5 25 151
6 25 145
7 25 163
8 25 150
9 25 128
10 25 120
11 25 65
12 25 68
13 25 118
14 25 143
0 26 16
1 26 59
2 26 85
3 26 44
4 26 143
5 26 140
6 26 135
