data;
set I := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24;
set J := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49;
param F := 0 22104 1 13290 2 15632 3 16331 4 18234 5 16428 6 26003 7 19556 8 24953 9 17905 10 18841 11 21824 12 28468 13 10000 14 20272 15 26009 16 14782 17 22283 18 10000 19 15304 20 17068 21 12847 22 26402 23 20898 24 18820;
param Cap := 0 894 1 1335 2 1218 3 1183 4 1088 5 1178 6 699 7 1022 8 752 9 1104 10 1057 11 908 12 576 13 1500 14 986 15 699 16 1260 17 885 18 1500 19 1234 20 1146 21 1357 22 679 23 955 24 1058;
param RC := 0 551 1 597 2 580 3 512 4 560 5 538 6 519 7 504 8 531 9 569 10 588 11 581 12 587 13 588 14 569 15 567 16 520 17 555 18 523 19 536 20 556 21 589 22 595 23 524 24 506;
param OC := 0 197 1 196 2 187 3 203 4 202 5 188 6 184 7 198 8 189 9 210 10 195 11 185 12 194 13 196 14 184 15 201 16 198 17 180 18 190 19 218 20 195 21 219 22 199 23 219 24 215;
param HC := 0 2.04 1 2.27 2 2.05 3 2.0 4 2.16 5 2.23 6 2.06 7 2.23 8 2.26 9 2.28 10 2.09 11 2.18 12 2.06 13 2.31 14 2.1 15 2.3 16 2.39 17 2.27 18 2.13 19 2.2 20 2.33 21 2.32 22 2.31 23 2.34 24 2.31;
param LT := 0 12 1 6 2 10 3 13 4 8 5 6 6 9 7 9 8 9 9 13 10 8 11 6 12 9 13 6 14 6 15 8 16 10 17 12 18 6 19 8 20 10 21 6 22 12 23 11 24 8;
param d := 0 84 1 70 2 138 3 49 4 128 5 122 6 145 7 38 8 66 9 100 10 147 11 44 12 123 13 92 14 97 15 145 16 83 17 63 18 98 19 97 20 67 21 33 22 77 23 136 24 82 25 93 26 75 27 127 28 84 29 105 30 54 31 149 32 85 33 139 34 49 35 58 36 32 37 75 38 113 39 72 40 49 41 52 42 34 43 116 44 84 45 95 46 108 47 106 48 52 49 118;
param u := 0 31 1 36 2 49 3 40 4 45 5 35 6 28 7 39 8 25 9 29 10 27 11 45 12 48 13 25 14 38 15 48 16 25 17 46 18 34 19 32 20 27 21 25 22 26 23 27 24 27 25 41 26 30 27 47 28 45 29 27 30 49 31 25 32 50 33 48 34 46 35 30 36 50 37 41 38 50 39 45 40 31 41 47 42 46 43 29 44 39 45 38 46 49 47 33 48 30 49 46;
param K := 1.28;
param TH := 1000;
param TC := 
0 0 49
1 0 103
2 0 94
3 0 88
4 0 60
5 0 113
6 0 139
7 0 81
8 0 30
9 0 76
10 0 73
11 0 195
12 0 124
13 0 117
14 0 73
15 0 47
16 0 141
17 0 79
18 0 124
19 0 92
20 0 81
21 0 98
22 0 32
23 0 58
24 0 74
0 1 31
1 1 144
2 1 65
3 1 49
4 1 60
5 1 151
6 1 163
7 1 92
8 1 63
9 1 114
10 1 115
11 1 215
12 1 145
13 1 103
14 1 63
15 1 61
16 1 138
17 1 106
18 1 112
19 1 133
20 1 121
21 1 75
22 1 73
23 1 33
24 1 115
0 2 131
1 2 120
2 2 217
3 2 176
4 2 102
5 2 59
6 2 16
7 2 71
8 2 96
9 2 146
10 2 115
11 2 73
12 2 24
13 2 128
14 2 200
15 2 169
16 2 104
17 2 48
18 2 125
19 2 90
20 2 79
21 2 143
22 2 105
23 2 138
24 2 108
0 3 76
1 3 114
2 3 71
3 3 98
4 3 96
5 3 142
6 3 177
7 3 120
8 3 68
9 3 73
10 3 86
11 3 233
12 3 163
13 3 149
14 3 39
15 3 10
16 3 177
17 3 117
18 3 157
19 3 113
20 3 107
21 3 124
22 3 61
23 3 81
24 3 89
0 4 151
1 4 165
2 4 243
3 4 190
4 4 120
5 4 105
6 4 31
7 4 86
8 4 130
9 4 190
10 4 159
11 4 37
12 4 35
13 4 123
14 4 232
15 4 205
16 4 86
17 4 82
18 4 117
19 4 136
20 4 124
21 4 147
22 4 143
23 4 156
24 4 152
0 5 73
1 5 130
2 5 55
3 5 88
4 5 97
5 5 155
6 5 186
7 5 124
8 5 77
9 5 88
10 5 102
11 5 241
12 5 171
13 5 147
14 5 26
15 5 21
16 5 178
17 5 126
18 5 155
19 5 128
20 5 121
21 5 120
22 5 73
23 5 77
24 5 104
0 6 44
1 6 104
2 6 98
3 6 86
4 6 53
5 6 110
6 6 133
7 6 73
8 6 24
9 6 81
10 6 75
11 6 188
12 6 117
13 6 111
14 6 80
15 6 55
16 6 133
17 6 73
18 6 117
19 6 91
20 6 80
21 6 92
22 6 31
23 6 53
24 6 75
0 7 123
1 7 110
2 7 207
3 7 169
4 7 95
5 7 51
6 7 27
7 7 65
8 7 86
9 7 135
10 7 104
11 7 84
12 7 29
13 7 126
14 7 189
15 7 158
16 7 106
17 7 38
18 7 124
19 7 80
20 7 68
21 7 138
22 7 94
23 7 130
24 7 97
0 8 48
1 8 101
2 8 100
3 8 90
4 8 56
5 8 108
6 8 132
7 8 75
8 8 23
9 8 77
10 8 71
11 8 188
12 8 117
13 8 114
14 8 80
15 8 53
16 8 135
17 8 72
18 8 120
19 8 87
