data;
set I := 0 1 2 3 4 5 6 7 8 9;
set J := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19;
param F := 0 17259 1 25819 2 21709 3 26574 4 28618 5 21986 6 22304 7 23692 8 17652 9 22185;
param Cap := 0 1137 1 709 2 914 3 671 4 569 5 900 6 884 7 815 8 1117 9 890;
param RC := 0 524 1 591 2 526 3 510 4 516 5 585 6 547 7 536 8 560 9 590;
param OC := 0 187 1 212 2 193 3 204 4 194 5 199 6 200 7 186 8 181 9 212;
param HC := 0 2.22 1 2.0 2 2.39 3 2.27 4 2.04 5 2.01 6 2.23 7 2.05 8 2.17 9 2.06;
param LT := 0 12 1 13 2 13 3 15 4 12 5 15 6 12 7 8 8 8 9 9;
param d := 0 67 1 115 2 43 3 52 4 116 5 79 6 105 7 86 8 83 9 84 10 129 11 143 12 88 13 83 14 40 15 132 16 68 17 31 18 85 19 91;
param u := 0 34 1 33 2 32 3 38 4 31 5 29 6 48 7 26 8 48 9 39 10 43 11 32 12 26 13 33 14 31 15 42 16 49 17 48 18 26 19 25;
param K := 1.28;
param TH := 1000;
param TC := 
0 0 80
1 0 156
2 0 139
3 0 135
4 0 26
5 0 175
6 0 100
7 0 137
8 0 198
9 0 46
0 1 68
1 1 36
2 1 61
3 1 31
4 1 125
5 1 43
6 1 85
7 1 20
8 1 78
9 1 88
0 2 69
1 2 149
2 2 120
3 2 127
4 2 74
5 2 178
6 2 72
7 2 147
8 2 187
9 2 73
0 3 99
1 3 145
2 3 149
3 3 131
4 3 45
5 3 147
6 3 130
7 3 106
8 3 189
9 3 47
0 4 70
1 4 15
2 4 43
3 4 14
4 4 140
5 4 43
6 4 79
7 4 41
8 4 58
9 4 102
0 5 118
1 5 157
2 5 165
3 5 145
4 5 63
5 5 154
6 5 149
7 5 114
8 5 200
9 5 67
0 6 61
1 6 142
2 6 114
3 6 120
4 6 69
5 6 170
6 6 66
7 6 139
8 6 180
9 6 66
0 7 84
1 7 12
2 7 53
3 7 27
4 7 151
5 7 31
6 7 92
7 7 41
8 7 49
9 7 113
0 8 76
1 8 145
2 8 134
3 8 126
4 8 11
5 8 160
6 8 100
7 8 121
8 8 189
9 8 30
0 9 55
1 9 97
2 9 56
3 9 80
4 9 132
5 9 136
6 9 25
7 9 124
8 9 122
9 9 107
0 10 62
1 10 24
2 10 44
3 10 14
4 10 130
5 10 48
6 10 73
7 10 37
8 10 68
9 10 92
0 11 82
1 11 21
2 11 58
3 11 30
4 11 145
5 11 28
6 11 93
7 11 31
8 11 58
9 11 108
0 12 114
1 12 151
2 12 159
3 12 139
4 12 64
5 12 147
6 12 145
7 12 107
8 12 193
9 12 65
0 13 74
1 13 153
2 13 120
3 13 131
4 13 90
5 13 184
6 13 71
7 13 156
8 13 188
9 13 88
0 14 67
1 14 37
2 14 61
3 14 31
4 14 123
5 14 45
6 14 84
7 14 21
8 14 79
9 14 86
0 15 64
1 15 144
2 15 114
3 15 122
4 15 78
5 15 173
6 15 65
7 15 144
8 15 181
9 15 74
0 16 91
1 16 155
2 16 148
3 16 137
4 16 9
5 16 166
6 16 117
7 16 126
8 16 199
9 16 40
0 17 130
1 17 169
2 17 177
3 17 156
4 17 70
5 17 164
6 17 160
7 17 125
8 17 211
9 17 78
0 18 90
1 18 171
2 18 145
3 18 149
4 18 66
5 18 196
6 18 98
7 18 163
8 18 210
9 18 79
0 19 72
1 19 81
2 19 40
3 19 69
4 19 156
5 19 122
6 19 46
7 19 119
8 19 97
9 19 126
;
