data;
set I := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24;
set J := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49;
param F := 0 23856 1 19111 2 10000 3 14219 4 17946 5 28354 6 24321 7 10000 8 10000 9 10000 10 24379 11 20872 12 10000 13 14872 14 18854 15 13186 16 23220 17 10000 18 10000 19 19333 20 12223 21 16778 22 17322 23 20432 24 10000;
param Cap := 0 807 1 1044 2 1500 3 1289 4 1102 5 582 6 783 7 1500 8 1500 9 1500 10 781 11 956 12 1500 13 1256 14 1057 15 1340 16 838 17 1500 18 1500 19 1033 20 1388 21 1161 22 1133 23 978 24 1500;
param RC := 0 546 1 592 2 597 3 568 4 584 5 599 6 522 7 588 8 588 9 589 10 588 11 519 12 512 13 585 14 550 15 544 16 524 17 578 18 593 19 590 20 562 21 526 22 502 23 556 24 568;
param OC := 0 185 1 207 2 210 3 195 4 191 5 207 6 196 7 190 8 184 9 216 10 188 11 220 12 191 13 214 14 207 15 183 16 195 17 219 18 199 19 207 20 208 21 202 22 197 23 184 24 188;
param HC := 0 2.23 1 2.03 2 2.06 3 2.22 4 2.19 5 2.3 6 2.12 7 2.01 8 2.06 9 2.37 10 2.29 11 2.04 12 2.0 13 2.28 14 2.27 15 2.37 16 2.29 17 2.04 18 2.09 19 2.18 20 2.3 21 2.36 22 2.1 23 2.38 24 2.36;
param LT := 0 15 1 12 2 11 3 7 4 15 5 7 6 7 7 14 8 11 9 7 10 13 11 10 12 11 13 14 14 14 15 12 16 6 17 15 18 10 19 13 20 14 21 7 22 7 23 13 24 7;
param d := 0 64 1 30 2 86 3 74 4 32 5 59 6 78 7 39 8 69 9 66 10 66 11 123 12 66 13 103 14 143 15 96 16 107 17 143 18 106 19 141 20 104 21 43 22 150 23 105 24 107 25 78 26 51 27 81 28 42 29 73 30 118 31 125 32 58 33 129 34 110 35 38 36 115 37 148 38 120 39 102 40 106 41 119 42 76 43 97 44 69 45 67 46 96 47 124 48 68 49 67;
param u := 0 44 1 49 2 46 3 50 4 38 5 31 6 41 7 38 8 46 9 31 10 37 11 43 12 33 13 33 14 28 15 36 16 28 17 36 18 28 19 47 20 32 21 49 22 39 23 44 24 40 25 27 26 28 27 49 28 28 29 39 30 41 31 29 32 44 33 26 34 42 35 43 36 39 37 33 38 39 39 47 40 45 41 35 42 34 43 31 44 37 45 28 46 46 47 48 48 45 49 43;
param K := 1.28;
param TH := 1000;
param TC := 
0 0 168
1 0 96
2 0 198
3 0 187
4 0 73
5 0 1
6 0 24
7 0 168
8 0 176
9 0 174
10 0 73
11 0 82
12 0 193
13 0 142
14 0 106
15 0 149
16 0 103
17 0 166
18 0 173
19 0 93
20 0 157
21 0 134
22 0 129
23 0 99
24 0 192
0 1 138
1 1 69
2 1 134
3 1 134
4 1 53
5 1 64
6 1 81
7 1 104
8 1 113
9 1 118
10 1 18
11 1 37
12 1 132
13 1 78
14 1 50
15 1 89
16 1 91
17 1 121
18 1 111
19 1 68
20 1 94
21 1 71
22 1 72
23 1 59
24 1 130
0 2 193
1 2 83
2 2 202
3 2 206
4 2 97
5 2 27
6 2 47
7 2 178
8 2 179
9 2 170
10 2 88
11 2 101
12 2 207
13 2 150
14 2 122
15 2 163
16 2 130
17 2 155
18 2 186
19 2 80
20 2 163
21 2 137
22 2 128
23 2 121
24 2 193
0 3 144
1 3 62
2 3 130
3 3 137
4 3 61
5 3 67
6 3 86
7 3 103
8 3 109
9 3 111
10 3 25
11 3 44
12 3 133
13 3 75
14 3 53
15 3 91
16 3 99
17 3 113
18 3 111
19 3 61
20 3 90
21 3 67
22 3 65
23 3 66
24 3 125
0 4 140
1 4 68
2 4 138
3 4 138
4 4 53
5 4 60
6 4 78
7 4 109
8 4 117
9 4 120
10 4 21
11 4 39
12 4 136
13 4 82
14 4 54
15 4 93
16 4 92
17 4 123
18 4 116
19 4 67
20 4 98
21 4 75
22 4 75
23 4 62
24 4 134
0 5 40
1 5 165
2 5 152
3 5 69
4 5 60
5 5 133
6 5 133
7 5 108
8 5 143
9 5 174
10 5 80
11 5 61
12 5 100
13 5 104
14 5 60
15 5 70
16 5 44
17 5 197
18 5 93
19 5 164
20 5 124
21 5 121
22 5 138
23 5 39
24 5 164
0 6 31
1 6 184
2 6 179
3 6 90
4 6 69
5 6 139
6 6 134
7 6 136
8 6 170
9 6 201
10 6 98
11 6 79
12 6 125
13 6 131
14 6 85
15 6 97
16 6 37
17 6 222
18 6 120
19 6 183
20 6 151
21 6 147
22 6 163
23 6 58
24 6 191
0 7 173
1 7 34
2 7 136
3 7 162
4 7 87
5 7 70
6 7 93
7 7 117
8 7 113
9 7 104
10 7 53
11 7 72
12 7 152
13 7 88
14 7 79
15 7 112
16 7 126
17 7 96
18 7 130
19 7 33
20 7 98
21 7 72
22 7 62
23 7 94
24 7 126
0 8 188
1 8 91
2 8 206
3 8 204
4 8 92
5 8 19
6 8 37
7 8 179
8 8 183
9 8 176
10 8 87
11 8 98
12 8 207
13 8 152
14 8 121
15 8 163
16 8 124
17 8 163
18 8 186
19 8 88
20 8 166
21 8 141
22 8 133
23 8 117
24 8 198
0 9 152
1 9 60
2 9 144
3 9 150
4 9 62
5 9 54
6 9 74
7 9 117
8 9 122
9 9 121
10 9 33
11 9 51
12 9 147
13 9 89
14 9 65
15 9 104
16 9 101
17 9 119
18 9 126
19 9 58
20 9 104
21 9 80
22 9 76
23 9 73
24 9 138
0 10 32
1 10 179
2 10 173
3 10 85
4 10 65
5 10 137
6 10 132
7 10 130
8 10 164
9 10 195
10 10 93
11 10 74
12 10 120
13 10 125
14 10 79
15 10 91
16 10 36
17 10 216
18 10 114
19 10 178
20 10 145
21 10 141
22 10 158
23 10 53
24 10 185
0 11 153
1 11 66
2 11 154
3 11 156
4 11 60
5 11 43
6 11 64
7 11 127
8 11 133
9 11 132
10 11 38
11 11 53
12 11 155
13 11 100
14 11 71
15 11 112
16 11 98
17 11 129
18 11 134
19 11 64
20 11 114
21 11 90
22 11 87
23 11 75
24 11 149
0 12 136
1 12 71
2 12 134
3 12 133
4 12 51
5 12 64
6 12 81
7 12 104
8 12 113
9 12 119
10 12 16
11 12 35
12 12 131
13 12 78
14 12 48
15 12 88
16 12 89
17 12 123
18 12 111
19 12 70
20 12 94
21 12 72
22 12 73
23 12 57
24 12 131
0 13 30
1 13 177
2 13 166
3 13 77
4 13 67
5 13 139
6 13 136
7 13 122
8 13 158
9 13 189
10 13 91
11 13 73
12 13 112
13 13 119
14 13 74
15 13 84
16 13 41
17 13 212
18 13 106
19 13 176
20 13 139
21 13 135
22 13 153
23 13 50
24 13 178
0 14 136
1 14 69
2 14 121
3 14 126
4 14 58
5 14 76
6 14 94
7 14 92
8 14 100
9 14 107
10 14 19
11 14 36
12 14 121
13 14 65
14 14 42
15 14 79
16 14 95
17 14 114
18 14 100
19 14 68
20 14 81
21 14 59
22 14 62
23 14 58
24 14 118
0 15 27
1 15 181
2 15 153
3 15 57
4 15 80
5 15 153
6 15 153
7 15 110
8 15 147
9 15 182
10 15 97
11 15 79
12 15 94
13 15 111
14 15 74
15 15 72
16 15 61
17 15 208
18 15 92
19 15 180
20 15 130
21 15 130
22 15 149
23 15 57
24 15 168
0 16 190
1 16 95
2 16 210
3 16 207
4 16 95
5 16 21
6 16 36
7 16 184
8 16 187
9 16 180
10 16 91
11 16 102
12 16 211
13 16 156
14 16 125
15 16 167
16 16 125
17 16 167
18 16 190
19 16 92
20 16 170
21 16 145
22 16 138
23 16 120
24 16 202
0 17 168
1 17 104
2 17 205
3 17 190
4 17 74
5 17 9
6 17 16
7 17 175
8 17 183
9 17 182
10 17 79
11 17 86
12 17 198
13 17 149
14 17 111
15 17 154
16 17 103
