data;
set I := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14;
set J := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29;
param F := 0 28932 1 25282 2 19353 3 10215 4 23510 5 28129 6 11664 7 18951 8 13036 9 14547 10 19557 11 20924 12 23857 13 21596 14 17450;
param Cap := 0 553 1 735 2 1032 3 1489 4 824 5 593 6 1416 7 1052 8 1348 9 1272 10 1022 11 953 12 807 13 920 14 1127;
param RC := 0 570 1 585 2 547 3 598 4 582 5 597 6 538 7 553 8 565 9 592 10 585 11 563 12 526 13 561 14 565;
param OC := 0 191 1 192 2 202 3 196 4 186 5 218 6 214 7 214 8 215 9 207 10 185 11 183 12 201 13 219 14 206;
param HC := 0 2.11 1 2.29 2 2.23 3 2.33 4 2.23 5 2.04 6 2.16 7 2.38 8 2.34 9 2.05 10 2.36 11 2.37 12 2.18 13 2.11 14 2.4;
param LT := 0 11 1 13 2 11 3 13 4 9 5 14 6 7 7 15 8 6 9 10 10 7 11 6 12 14 13 11 14 8;
param d := 0 143 1 86 2 30 3 50 4 63 5 150 6 105 7 104 8 59 9 73 10 132 11 135 12 140 13 135 14 109 15 139 16 63 17 113 18 37 19 121 20 149 21 80 22 65 23 87 24 96 25 140 26 34 27 117 28 124 29 134;
param u := 0 40 1 46 2 49 3 31 4 49 5 37 6 43 7 44 8 41 9 41 10 37 11 49 12 48 13 46 14 31 15 38 16 46 17 43 18 40 19 33 20 41 21 48 22 50 23 41 24 28 25 41 26 47 27 35 28 27 29 44;
param K := 1.28;
param TH := 1000;
param TC := 
0 0 16
1 0 114
2 0 164
3 0 90
4 0 151
5 0 124
6 0 210
7 0 170
8 0 98
9 0 112
10 0 145
11 0 160
12 0 18
13 0 70
14 0 77
0 1 2
1 1 101
2 1 150
3 1 103
4 1 137
5 1 109
6 1 196
7 1 156
8 1 97
9 1 101
10 1 137
11 1 147
12 1 30
13 1 59
14 1 73
0 2 111
1 2 35
2 2 55
3 2 211
4 2 24
5 2 4
6 2 91
7 2 54
8 2 148
9 2 81
10 2 121
11 2 71
12 2 139
13 2 79
14 2 125
0 3 112
1 3 28
2 3 48
3 3 210
4 3 24
5 3 10
6 3 87
7 3 49
8 3 143
9 3 88
10 3 113
11 3 62
12 3 139
13 3 76
14 3 131
0 4 7
1 4 107
2 4 156
3 4 100
4 4 142
5 4 114
6 4 202
7 4 162
8 4 101
9 4 102
10 4 143
11 4 153
12 4 28
13 4 65
14 4 70
0 5 12
1 5 107
2 5 156
3 5 93
4 5 144
5 5 117
6 5 202
7 5 162
8 5 91
9 5 111
10 5 137
11 5 152
12 5 20
13 5 61
14 5 81
0 6 108
1 6 38
2 6 63
3 6 182
4 6 81
5 6 72
6 6 107
7 6 72
8 6 89
9 6 138
10 6 48
11 6 45
12 6 123
13 6 50
14 6 159
0 7 92
1 7 27
2 7 65
3 7 192
4 7 43
5 7 16
6 7 106
7 7 67
8 7 131
9 7 77
10 7 113
11 7 74
12 7 120
13 7 61
14 7 113
0 8 101
1 8 37
2 8 67
3 8 175
4 8 83
5 8 71
6 8 112
7 8 77
8 8 85
9 8 134
10 8 51
11 8 52
12 8 115
13 8 43
14 8 152
0 9 92
1 9 20
2 9 62
3 9 176
4 9 68
5 9 53
6 9 108
7 9 70
8 9 96
9 9 115
10 9 71
11 9 54
12 9 111
13 9 38
14 9 137
0 10 122
1 10 33
2 10 39
3 10 219
4 10 16
5 10 19
6 10 76
7 10 39
8 10 149
9 10 96
10 10 113
11 10 57
12 10 148
13 10 84
14 10 141
0 11 123
1 11 46
2 11 57
3 11 194
4 11 83
5 11 78
6 11 98
7 11 67
8 11 97
9 11 148
10 11 43
11 11 35
12 11 136
13 11 64
14 11 172
0 12 113
1 12 20
2 12 40
3 12 208
4 12 29
5 12 21
6 12 83
7 12 43
8 12 135
9 12 98
10 12 102
11 12 52
12 12 138
13 12 71
14 12 138
0 13 98
1 13 27
2 13 62
3 13 177
4 13 74
5 13 61
6 13 108
7 13 71
8 13 92
9 13 125
10 13 61
11 13 50
12 13 115
13 13 41
14 13 146
0 14 108
1 14 11
2 14 41
3 14 201
4 14 38
5 14 27
6 14 86
7 14 47
8 14 127
9 14 102
10 14 93
11 14 48
12 14 132
13 14 64
14 14 138
0 15 105
1 15 32
2 15 58
3 15 205
4 15 31
5 15 3
6 15 97
7 15 59
8 15 143
9 15 78
10 15 119
11 15 72
12 15 133
13 15 74
14 15 120
0 16 11
1 16 95
2 16 144
3 16 115
4 16 127
5 16 100
6 16 189
7 16 149
8 16 106
9 16 88
10 16 140
11 16 143
12 16 42
13 16 58
14 16 64
0 17 93
1 17 24
2 17 62
3 17 192
4 17 42
5 17 17
6 17 104
7 17 65
8 17 130
9 17 80
10 17 109
11 17 71
12 17 120
13 17 60
14 17 116
0 18 108
1 18 25
2 18 51
3 18 189
4 18 67
5 18 59
6 18 97
7 18 61
8 18 101
9 18 128
10 18 61
11 18 39
12 18 126
13 18 53
14 18 153
0 19 100
1 19 29
2 19 60
3 19 200
4 19 35
5 19 8
6 19 99
7 19 61
8 19 139
9 19 78
10 19 116
11 19 72
12 19 128
13 19 69
14 19 118
0 20 4
1 20 101
2 20 151
3 20 107
4 20 135
5 20 108
6 20 196
7 20 156
8 20 103
9 20 96
10 20 142
11 20 149
12 20 34
13 20 62
14 20 67
0 21 112
1 21 28
2 21 49
3 21 192
4 21 67
5 21 60
6 21 94
7 21 59
8 21 103
9 21 130
10 21 60
11 21 36
12 21 129
13 21 56
14 21 156
0 22 113
1 22 28
2 22 49
3 22 192
4 22 68
5 22 61
6 22 94
7 22 59
8 22 103
9 22 131
10 22 59
11 22 35
12 22 130
13 22 56
14 22 157
0 23 2
1 23 99
2 23 148
3 23 107
4 23 134
5 23 106
6 23 194
7 23 154
8 23 100
9 23 97
10 23 138
11 23 146
12 23 34
13 23 58
14 23 70
0 24 29
1 24 100
2 24 148
3 24 129
4 24 126
5 24 98
6 24 191
7 24 151
8 24 125
9 24 72
10 24 154
11 24 150
12 24 58
13 24 72
14 24 45
0 25 93
1 25 11
2 25 58
3 25 181
4 25 60
5 25 44
6 25 105
7 25 65
8 25 104
9 25 107
10 25 79
11 25 55
12 25 114
13 25 42
14 25 133
0 26 12
1 26 94
2 26 143
3 26 117
4 26 126
5 26 98
6 26 188
7 26 148
8 26 107
9 26 87
10 26 140
11 26 142
12 26 44
13 26 58
14 26 63
0 27 93
1 27 52
2 27 86
3 27 159
4 27 99
5 27 85
6 27 130
7 27 95
8 27 66
9 27 140
10 27 48
11 27 69
12 27 103
13 27 35
14 27 151
0 28 96
1 28 43
2 28 76
3 28 167
4 28 90
5 28 76
6 28 121
7 28 85
8 28 76
9 28 135
10 28 50
11 28 60
12 28 108
13 28 37
14 28 150
0 29 27
1 29 121
2 29 170
3 29 107
4 29 150
5 29 122
6 29 214
7 29 174
8 29 124
9 29 94
10 29 165
11 29 170
12 29 44
13 29 85
14 29 51
;
