data;
set I := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24;
set J := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49;
param F := 0 10000 1 21747 2 10000 3 10000 4 10000 5 10000 6 10000 7 18476 8 18146 9 22173 10 10000 11 14418 12 10000 13 10000 14 10000 15 16387 16 10000 17 16976 18 15392 19 17707 20 12831 21 27439 22 22108 23 14696 24 17814;
param Cap := 0 1500 1 912 2 1500 3 1500 4 1500 5 1500 6 1500 7 1076 8 1092 9 891 10 1500 11 1279 12 1500 13 1500 14 1500 15 1180 16 1500 17 1151 18 1230 19 1114 20 1358 21 628 22 894 23 1265 24 1109;
param RC := 0 575 1 579 2 527 3 589 4 530 5 509 6 504 7 569 8 551 9 541 10 591 11 563 12 547 13 527 14 552 15 531 16 510 17 516 18 504 19 541 20 533 21 514 22 527 23 591 24 544;
param OC := 0 189 1 180 2 183 3 195 4 215 5 191 6 209 7 219 8 196 9 192 10 196 11 214 12 206 13 186 14 213 15 195 16 216 17 196 18 209 19 211 20 181 21 198 22 190 23 211 24 203;
param HC := 0 2.2 1 2.22 2 2.2 3 2.4 4 2.29 5 2.27 6 2.33 7 2.34 8 2.02 9 2.13 10 2.31 11 2.22 12 2.35 13 2.07 14 2.28 15 2.26 16 2.31 17 2.3 18 2.18 19 2.38 20 2.14 21 2.12 22 2.06 23 2.09 24 2.12;
param LT := 0 13 1 6 2 14 3 12 4 9 5 8 6 10 7 12 8 7 9 15 10 13 11 11 12 10 13 9 14 8 15 9 16 9 17 10 18 10 19 6 20 13 21 10 22 13 23 11 24 14;
param d := 0 56 1 69 2 53 3 129 4 112 5 89 6 107 7 53 8 51 9 82 10 123 11 88 12 69 13 30 14 74 15 143 16 39 17 143 18 102 19 49 20 89 21 110 22 49 23 139 24 121 25 57 26 93 27 94 28 117 29 39 30 63 31 75 32 146 33 148 34 134 35 104 36 72 37 96 38 48 39 41 40 100 41 144 42 30 43 130 44 76 45 52 46 108 47 139 48 52 49 148;
param u := 0 26 1 47 2 33 3 37 4 39 5 42 6 26 7 44 8 26 9 27 10 44 11 29 12 29 13 25 14 34 15 44 16 46 17 36 18 46 19 28 20 28 21 43 22 48 23 25 24 47 25 32 26 37 27 30 28 44 29 36 30 41 31 47 32 44 33 39 34 36 35 28 36 42 37 43 38 45 39 45 40 41 41 38 42 50 43 37 44 29 45 33 46 48 47 31 48 34 49 50;
param K := 1.28;
param TH := 1000;
param TC := 
0 0 102
1 0 39
2 0 136
3 0 134
4 0 152
5 0 136
6 0 148
7 0 74
8 0 68
9 0 38
10 0 136
11 0 95
12 0 128
13 0 100
14 0 114
15 0 81
16 0 120
17 0 81
18 0 77
19 0 77
20 0 105
21 0 28
22 0 28
23 0 93
24 0 78
0 1 117
1 1 43
2 1 131
3 1 119
4 1 138
5 1 121
6 1 145
7 1 60
8 1 62
9 1 41
10 1 133
11 1 83
12 1 117
13 1 111
14 1 118
15 1 73
16 1 132
17 1 69
18 1 78
19 1 65
20 1 91
21 1 13
22 1 42
23 1 81
24 1 64
0 2 109
1 2 38
2 2 130
3 2 126
4 2 144
5 2 127
6 2 144
7 2 65
8 2 62
9 2 36
10 2 131
11 2 90
12 2 120
13 2 104
14 2 113
15 2 78
16 2 125
17 2 76
18 2 80
19 2 72
20 2 98
21 2 20
22 2 35
23 2 88
24 2 69
0 3 102
1 3 39
2 3 136
3 3 135
4 3 153
5 3 136
6 3 148
7 3 74
8 3 68
9 3 38
10 3 136
11 3 96
12 3 128
13 3 99
14 3 114
15 3 82
16 3 119
17 3 81
18 3 77
19 3 78
20 3 106
21 3 28
22 3 27
23 3 93
24 3 78
0 4 123
1 4 57
2 4 144
3 4 120
4 4 138
5 4 123
6 4 159
7 4 66
8 4 75
9 4 55
10 4 147
11 4 74
12 4 127
13 4 122
14 4 132
15 4 60
16 4 142
17 4 59
18 4 65
19 4 55
20 4 87
21 4 19
22 4 48
23 4 71
24 4 69
0 5 105
1 5 31
2 5 125
3 5 128
4 5 146
5 5 129
6 5 138
7 5 66
8 5 57
9 5 29
10 5 125
11 5 96
12 5 117
13 5 98
14 5 106
15 5 86
16 5 119
17 5 82
18 5 87
19 5 79
20 5 102
21 5 24
22 5 33
23 5 95
24 5 70
0 6 103
1 6 48
2 6 144
3 6 137
4 6 155
5 6 139
6 6 157
7 6 79
8 6 76
9 6 46
10 6 144
11 6 93
12 6 135
13 6 104
14 6 122
15 6 77
16 6 123
17 6 78
18 6 68
19 6 74
20 6 106
21 6 31
22 6 28
23 6 90
24 6 83
0 7 134
1 7 61
2 7 141
3 7 107
4 7 126
5 7 111
6 7 156
7 7 56
8 7 72
9 7 59
10 7 145
11 7 64
12 7 118
13 7 130
14 7 135
15 7 54
16 7 151
17 7 50
18 7 70
19 7 46
20 7 75
21 7 14
22 7 59
23 7 62
24 7 59
0 8 122
1 8 57
2 8 145
3 8 121
4 8 139
5 8 124
6 8 159
7 8 68
8 8 76
9 8 55
10 8 148
11 8 75
12 8 128
13 8 121
14 8 132
15 8 60
16 8 141
17 8 60
18 8 64
19 8 56
20 8 88
21 8 20
22 8 47
23 8 72
24 8 70
0 9 116
1 9 57
2 9 149
3 9 128
4 9 146
5 9 131
6 9 163
7 9 74
8 9 80
9 9 55
10 9 151
11 9 80
12 9 134
13 9 118
14 9 132
15 9 63
16 9 137
17 9 65
18 9 61
19 9 61
20 9 95
21 9 26
22 9 41
23 9 76
24 9 77
0 10 111
1 10 43
2 10 134
3 10 126
4 10 144
5 10 127
6 10 148
7 10 66
8 10 65
9 10 41
10 10 135
11 10 87
12 10 122
13 10 107
14 10 118
15 10 75
16 10 128
17 10 73
18 10 76
19 10 69
20 10 96
21 10 19
22 10 36
23 10 85
24 10 70
0 11 125
1 11 52
2 11 136
3 11 114
4 11 132
5 11 116
6 11 151
7 11 58
8 11 67
9 11 50
10 11 139
11 11 73
12 11 118
13 11 120
14 11 127
15 11 63
16 11 141
17 11 60
18 11 73
19 11 56
20 11 83
21 11 10
22 11 50
23 11 72
24 11 61
0 12 102
1 12 37
2 12 133
3 12 134
4 12 152
5 12 135
6 12 146
7 12 73
8 12 65
9 12 35
10 12 133
11 12 97
12 12 126
13 12 98
14 12 111
15 12 84
16 12 118
17 12 82
18 12 80
19 12 79
20 12 106
21 12 28
22 12 27
23 12 94
24 12 77
0 13 114
1 13 45
2 13 134
3 13 123
4 13 141
5 13 125
6 13 148
7 13 65
8 13 66
9 13 42
10 13 136
11 13 84
12 13 121
13 13 110
14 13 120
15 13 72
16 13 130
17 13 70
18 13 75
19 13 66
20 13 93
21 13 17
22 13 39
23 13 82
24 13 68
0 14 123
1 14 44
2 14 125
3 14 112
4 14 130
5 14 113
6 14 140
7 14 52
8 14 56
9 14 41
10 14 129
11 14 79
12 14 109
13 14 115
14 14 117
15 14 72
16 14 136
17 14 66
18 14 84
19 14 62
20 14 84
21 14 6
22 14 50
23 14 78
24 14 55
0 15 130
1 15 49
2 15 126
3 15 105
4 15 123
5 15 106
6 15 141
7 15 47
8 15 57
9 15 47
10 15 130
11 15 72
12 15 106
13 15 121
14 15 122
15 15 68
16 15 143
17 15 61
18 15 84
19 15 57
20 15 77
21 15 2
22 15 57
23 15 73
24 15 50
0 16 110
1 16 39
2 16 130
3 16 125
4 16 143
5 16 127
6 16 144
7 16 65
8 16 62
9 16 36
10 16 131
11 16 89
12 16 120
13 16 104
14 16 114
15 16 78
16 16 125
17 16 75
18 16 80
19 16 72
20 16 97
21 16 19
22 16 36
23 16 88
24 16 69
0 17 111
1 17 34
2 17 124
3 17 123
4 17 141
5 17 123
6 17 137
7 17 60
8 17 55
9 17 32
10 17 125
11 17 90
12 17 114
13 17 103
14 17 109
15 17 82
16 17 124
17 17 78
18 17 86
19 17 74
20 17 96
21 17 18
22 17 39
23 17 90
24 17 64
0 18 127
1 18 74
2 18 163
3 18 128
4 18 146
5 18 133
6 18 177
7 18 82
8 18 94
9 18 72
10 18 166
11 18 72
12 18 143
13 18 132
14 18 149
15 18 50
16 18 150
17 18 55
18 18 46
19 18 52
20 18 92
21 18 37
22 18 54
23 18 66
24 18 84
0 19 111
1 19 35
2 19 126
3 19 124
4 19 142
5 19 125
6 19 139
7 19 62
8 19 57
9 19 33
10 19 127
11 19 90
12 19 116
13 19 103
14 19 110
15 19 81
16 19 124
17 19 77
18 19 84
19 19 73
20 19 97
21 19 19
22 19 38
23 19 89
24 19 66
0 20 119
1 20 36
2 20 118
3 20 114
4 20 132
5 20 114
6 20 133
7 20 51
8 20 49
