data;
set I := 0 1 2 3 4 5 6 7 8 9;
set J := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19;
param F := 0 19776 1 20624 2 24621 3 36756 4 32740 5 22787 6 27169 7 34657 8 31359 9 22732;
param Cap := 0 900 1 1226 2 1231 3 1068 4 1343 5 701 6 513 7 1104 8 1025 9 1104;
param RC := 0 583 1 531 2 571 3 521 4 566 5 525 6 544 7 539 8 508 9 541;
param OC := 0 199 1 180 2 211 3 189 4 207 5 182 6 205 7 184 8 201 9 215;
param HC := 0 2.34 1 2.03 2 2.16 3 2.06 4 2.31 5 2.27 6 2.32 7 2.12 8 2.17 9 2.22;
param LT := 0 7 1 14 2 6 3 11 4 14 5 12 6 13 7 6 8 7 9 8;
param d := 0 100 1 108 2 103 3 38 4 47 5 72 6 122 7 147 8 51 9 65 10 73 11 57 12 143 13 117 14 93 15 81 16 115 17 111 18 94 19 145;
param u := 0 45 1 45 2 35 3 31 4 27 5 26 6 27 7 32 8 33 9 34 10 44 11 47 12 42 13 41 14 48 15 44 16 27 17 35 18 39 19 47;
param K := 1.28;
param TH := 1000;
param TC := 
0 0 172
1 0 176
2 0 101
3 0 31
4 0 117
5 0 19
6 0 56
7 0 31
8 0 153
9 0 33
0 1 204
1 1 83
2 1 130
3 1 256
4 1 114
5 1 243
6 1 191
7 1 256
8 1 85
9 1 204
0 2 141
1 2 39
2 2 61
3 2 181
4 2 35
5 2 168
6 2 110
7 2 177
8 2 10
9 2 125
0 3 133
1 3 123
2 3 60
3 3 84
4 3 66
5 3 72
6 3 19
7 3 76
8 3 101
9 3 24
0 4 137
1 4 70
2 4 28
3 4 141
4 4 5
5 4 128
6 4 75
7 4 139
8 4 42
9 4 87
0 5 111
1 5 48
2 5 59
3 5 158
4 5 27
5 5 145
6 5 79
7 5 150
8 5 31
9 5 98
0 6 271
1 6 186
2 6 110
3 6 177
4 6 137
5 6 169
6 6 176
7 6 198
8 6 157
9 6 168
0 7 237
1 7 147
2 7 79
3 7 171
4 7 102
5 7 160
6 7 151
7 7 186
8 7 119
9 7 148
0 8 186
1 8 141
2 8 45
3 8 90
4 8 75
5 8 78
6 8 76
7 8 101
8 8 112
9 8 66
0 9 211
1 9 108
2 9 69
3 9 187
4 9 78
5 9 175
6 9 145
7 9 195
8 9 83
9 9 149
0 10 171
1 10 92
2 10 18
3 10 143
4 10 36
5 10 130
6 10 95
7 10 148
8 10 62
9 10 99
0 11 195
1 11 106
2 11 42
3 11 158
4 11 60
5 11 146
6 11 119
7 11 166
8 11 77
9 11 121
0 12 186
1 12 90
2 12 45
3 12 168
4 12 52
5 12 156
6 12 120
7 12 174
8 12 62
9 12 126
0 13 207
1 13 86
2 13 118
3 13 244
4 13 106
5 13 232
6 13 183
7 13 246
8 13 81
9 13 195
0 14 189
1 14 168
2 14 78
3 14 51
4 14 103
5 14 41
6 14 70
7 14 67
8 14 141
9 14 50
0 15 89
1 15 125
2 15 101
3 15 111
4 15 92
5 15 101
6 15 33
7 15 89
8 15 114
9 15 53
0 16 207
1 16 171
2 16 76
3 16 72
4 16 105
5 16 63
6 16 90
7 16 92
8 16 142
9 16 73
0 17 64
1 17 94
2 17 100
3 17 145
4 17 79
5 17 134
6 17 59
7 17 125
8 17 90
9 17 83
0 18 212
1 18 196
2 18 106
3 18 38
4 18 132
5 18 34
6 18 93
7 18 65
8 18 169
9 18 70
0 19 71
1 19 50
2 19 119
3 19 203
4 19 87
5 19 190
6 19 116
7 19 187
8 19 69
9 19 139
;
