data;
set I := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14;
set J := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29;
param F := 0 24577 1 19091 2 23274 3 27209 4 22573 5 19000 6 16168 7 17584 8 15923 9 14717 10 16046 11 19070 12 27146 13 20502 14 19179;
param Cap := 0 771 1 1045 2 836 3 639 4 871 5 1049 6 1191 7 1120 8 1203 9 1264 10 1197 11 1046 12 642 13 974 14 1041;
param RC := 0 531 1 556 2 548 3 561 4 532 5 521 6 544 7 561 8 579 9 500 10 514 11 529 12 555 13 583 14 586;
param OC := 0 185 1 217 2 199 3 219 4 185 5 210 6 214 7 185 8 217 9 219 10 213 11 196 12 180 13 211 14 215;
param HC := 0 2.05 1 2.07 2 2.04 3 2.16 4 2.29 5 2.18 6 2.01 7 2.24 8 2.16 9 2.35 10 2.17 11 2.35 12 2.15 13 2.29 14 2.13;
param LT := 0 9 1 14 2 6 3 9 4 7 5 10 6 14 7 15 8 8 9 12 10 12 11 8 12 6 13 14 14 14;
param d := 0 104 1 40 2 68 3 56 4 87 5 112 6 73 7 147 8 31 9 121 10 87 11 59 12 78 13 53 14 69 15 76 16 76 17 46 18 112 19 148 20 69 21 84 22 81 23 80 24 94 25 125 26 89 27 100 28 110 29 126;
param u := 0 34 1 45 2 44 3 50 4 25 5 47 6 31 7 48 8 42 9 43 10 34 11 38 12 44 13 32 14 40 15 26 16 28 17 37 18 47 19 35 20 26 21 33 22 29 23 35 24 34 25 34 26 41 27 48 28 40 29 40;
param K := 1.28;
param TH := 1000;
param TC := 
0 0 127
1 0 69
2 0 179
3 0 145
4 0 113
5 0 111
6 0 188
7 0 166
8 0 78
9 0 80
10 0 189
11 0 108
12 0 146
13 0 52
14 0 54
0 1 172
1 1 106
2 1 38
3 1 165
4 1 37
5 1 93
6 1 74
7 1 65
8 1 72
9 1 88
10 1 74
11 1 55
12 1 150
13 1 168
14 1 116
0 2 32
1 2 157
2 2 153
3 2 27
4 2 109
5 2 48
6 2 128
7 2 108
8 2 93
9 2 69
10 2 128
11 2 88
12 2 24
13 2 92
14 2 72
0 3 236
1 3 63
2 3 175
3 3 245
4 3 137
5 3 183
6 3 212
7 3 199
8 3 129
9 3 151
10 3 213
11 3 151
12 3 239
13 3 176
14 3 151
0 4 30
1 4 188
2 4 176
3 4 5
4 4 139
5 4 77
6 4 144
7 4 127
8 4 125
9 4 100
10 4 145
11 4 117
12 4 21
13 4 113
14 4 102
0 5 27
1 5 156
2 5 159
3 5 27
4 5 113
5 5 52
6 5 134
7 5 114
8 5 94
9 5 70
10 5 135
11 5 91
12 5 28
13 5 87
14 5 70
0 6 138
1 6 50
2 6 168
3 6 154
4 6 103
5 6 111
6 6 181
7 6 160
8 6 70
9 6 78
10 6 182
11 6 101
12 6 153
13 6 70
14 6 58
0 7 200
1 7 94
2 7 66
3 7 197
4 7 63
5 7 125
6 7 111
7 7 104
8 7 88
9 7 110
10 7 111
11 7 84
12 7 183
13 7 182
14 7 133
0 8 192
1 8 123
2 8 28
3 8 184
4 8 59
5 8 114
6 8 76
7 8 74
8 8 94
9 8 110
10 8 76
11 8 77
12 8 168
13 8 190
14 8 139
0 9 183
1 9 76
2 9 73
3 9 182
4 9 49
5 9 110
6 9 111
7 9 100
8 9 69
9 9 92
10 9 112
11 9 70
12 9 169
13 9 161
14 9 113
0 10 35
1 10 153
2 10 150
3 10 31
4 10 105
5 10 44
6 10 125
7 10 105
8 10 89
9 10 65
10 10 126
11 10 84
12 10 26
13 10 90
14 10 68
0 11 234
1 11 61
2 11 178
3 11 244
4 11 138
5 11 183
6 11 214
7 11 200
8 11 129
9 11 151
10 11 215
11 11 151
12 11 237
13 11 172
14 11 149
0 12 176
1 12 72
2 12 74
3 12 175
4 12 42
5 12 103
6 12 109
7 12 97
8 12 62
9 12 84
10 12 109
11 12 63
12 12 162
13 12 154
14 12 106
0 13 211
1 13 85
2 13 86
3 13 210
4 13 76
5 13 138
6 13 130
7 13 123
8 13 96
9 13 119
10 13 131
11 13 97
12 13 197
13 13 184
14 13 138
0 14 155
1 14 98
2 14 48
3 14 149
4 14 20
5 14 77
6 14 73
7 14 60
8 14 56
9 14 70
10 14 74
11 14 38
12 14 134
13 14 151
14 14 99
0 15 221
1 15 50
2 15 180
3 15 233
4 15 134
5 15 174
6 15 213
7 15 198
8 15 121
9 15 141
10 15 214
11 15 146
12 15 227
13 15 157
14 15 137
0 16 180
1 16 99
2 16 46
3 16 175
4 16 42
5 16 102
6 16 86
7 16 78
8 16 74
9 16 93
10 16 87
11 16 63
12 16 160
13 16 170
14 16 119
0 17 221
1 17 48
2 17 161
3 17 230
4 17 121
5 17 167
6 17 197
7 17 184
8 17 113
9 17 136
10 17 198
11 17 135
12 17 223
13 17 164
14 17 137
0 18 235
1 18 62
2 18 177
3 18 245
4 18 137
5 18 183
6 18 213
7 18 200
8 18 129
9 18 151
10 18 214
11 18 151
12 18 238
13 18 174
14 18 150
0 19 116
1 19 93
2 19 195
3 19 136
