data;
set I := 0 1 2 3 4 5 6 7 8 9;
set J := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19;
param F := 0 26389 1 18726 2 20904 3 21222 4 24184 5 17497 6 10000 7 20666 8 18651 9 19788;
param Cap := 0 680 1 1063 2 954 3 938 4 790 5 1125 6 1500 7 966 8 1067 9 1010;
param RC := 0 579 1 564 2 500 3 510 4 596 5 500 6 504 7 550 8 534 9 566;
param OC := 0 216 1 188 2 199 3 210 4 215 5 193 6 190 7 206 8 202 9 192;
param HC := 0 2.29 1 2.04 2 2.36 3 2.1 4 2.1 5 2.08 6 2.12 7 2.38 8 2.15 9 2.1;
param LT := 0 13 1 7 2 6 3 14 4 13 5 14 6 13 7 13 8 10 9 9;
param d := 0 109 1 143 2 36 3 60 4 129 5 133 6 78 7 106 8 124 9 109 10 112 11 71 12 130 13 113 14 70 15 131 16 146 17 94 18 79 19 59;
param u := 0 36 1 35 2 33 3 36 4 50 5 41 6 29 7 31 8 41 9 39 10 35 11 37 12 40 13 48 14 34 15 31 16 50 17 34 18 27 19 50;
param K := 1.28;
param TH := 1000;
param TC := 
0 0 75
1 0 44
2 0 70
3 0 61
4 0 48
5 0 88
6 0 93
7 0 67
8 0 86
9 0 43
0 1 78
1 1 60
2 1 55
3 1 70
4 1 37
5 1 70
6 1 111
7 1 49
8 1 98
9 1 57
0 2 129
1 2 83
2 2 110
3 2 112
4 2 41
5 2 115
6 2 116
7 2 83
8 2 51
9 2 90
0 3 4
1 3 67
2 3 75
3 3 32
4 3 119
5 3 106
6 3 105
7 3 112
8 3 155
9 3 53
0 4 63
1 4 40
2 4 63
3 4 50
4 4 57
5 4 84
6 4 92
7 4 69
8 4 96
9 4 36
0 5 28
1 5 92
2 5 73
3 5 58
4 5 131
5 5 103
6 5 130
7 5 116
8 5 177
9 5 77
0 6 19
1 6 84
2 6 76
3 6 49
4 6 129
5 6 107
6 6 121
7 6 117
8 6 171
9 6 69
0 7 81
1 7 66
2 7 51
3 7 74
4 7 35
5 7 64
6 7 117
7 7 43
8 7 102
9 7 62
0 8 79
1 8 70
2 8 45
3 8 75
4 8 38
5 8 59
6 8 121
7 8 39
8 8 108
9 8 64
0 9 75
1 9 71
2 9 39
3 9 73
4 9 44
5 9 55
6 9 123
7 9 39
8 9 114
9 9 64
0 10 5
1 10 64
2 10 78
3 10 28
4 10 119
5 10 109
6 10 101
7 10 113
8 10 152
9 10 50
0 11 73
1 11 65
2 11 45
3 11 69
4 11 43
5 11 62
6 11 116
7 11 45
8 11 108
9 11 59
0 12 80
1 12 57
2 12 60
3 12 70
4 12 37
5 12 75
6 12 107
7 12 53
8 12 92
9 12 55
0 13 52
1 13 56
2 13 43
3 13 51
4 13 64
5 13 69
6 13 108
7 13 61
8 13 118
9 13 46
0 14 61
1 14 42
2 14 60
3 14 50
4 14 57
5 14 82
6 14 94
7 14 68
8 14 99
9 14 36
0 15 25
1 15 89
2 15 78
3 15 54
4 15 133
5 15 108
6 15 125
7 15 119
8 15 176
9 15 74
0 16 18
1 16 81
2 16 84
3 16 45
4 16 133
5 16 114
6 16 115
7 16 123
8 16 169
9 16 67
0 17 10
1 17 69
2 17 83
3 17 33
4 17 126
5 17 114
6 17 103
7 17 119
8 17 158
9 17 55
0 18 80
1 18 64
2 18 53
3 18 73
4 18 36
5 18 67
6 18 114
7 18 46
8 18 99
9 18 60
0 19 127
1 19 74
2 19 118
3 19 106
4 19 55
5 19 127
6 19 101
7 19 97
8 19 36
9 19 84
;
